probe_loc_code,target_loc_code,facing_angle,ego_direction,steps,ego_direction_opt2
loc9,loc2,270,90,3,
loc9,loc3,0,0,4,90
loc9,loc3,90,90,4,0
loc9,loc3,180,180,4,90
loc9,loc3,270,90,4,180
loc9,loc4,0,0,5,90
loc9,loc4,90,90,5,0
loc9,loc4,180,180,5,90
loc9,loc4,270,90,5,180
loc9,loc5,0,0,1,
loc9,loc5,90,90,1,
loc9,loc5,180,180,1,
loc9,loc5,270,90,1,
loc9,loc6,0,0,2,
loc9,loc6,90,90,2,
loc9,loc6,180,180,2,
loc9,loc6,270,90,2,
loc9,loc7,0,0,3,90
loc9,loc7,90,90,3,0
loc9,loc7,180,180,3,90
loc9,loc7,270,90,3,180
loc9,loc8,0,0,4,90
loc9,loc8,90,90,4,0
loc9,loc8,180,180,4,90
loc9,loc8,270,90,4,180
loc9,loc10,0,90,1,
loc9,loc10,90,0,1,
loc9,loc10,180,90,1,
loc9,loc10,270,180,1,
loc9,loc11,0,90,2,
loc9,loc11,90,0,2,
loc9,loc11,180,90,2,
loc9,loc11,270,180,2,
loc9,loc12,0,90,3,
loc9,loc12,90,0,3,
loc9,loc12,180,90,3,
loc9,loc12,270,180,3,
loc9,loc13,0,90,3,
loc9,loc13,90,0,3,
loc9,loc13,180,90,3,
loc9,loc13,270,180,3,
loc9,loc14,0,90,2,
loc9,loc14,90,0,2,
loc9,loc14,180,90,2,
loc9,loc14,270,180,2,
loc9,loc15,0,90,5,
loc9,loc15,90,0,5,
loc9,loc15,180,90,5,
loc9,loc15,270,180,5,
loc9,loc16,0,90,4,
loc9,loc16,90,0,4,
loc9,loc16,180,90,4,
loc9,loc16,270,180,4,
loc10,loc1,0,180,5,
loc10,loc1,90,90,5,
loc10,loc1,180,0,5,
loc10,loc1,270,90,5,
loc10,loc2,0,180,6,
loc10,loc2,90,90,6,
loc10,loc2,180,0,6,
loc10,loc2,270,90,6,
loc10,loc3,0,90,3,
loc10,loc3,90,0,3,
loc10,loc3,180,90,3,
loc10,loc3,270,180,3,
loc10,loc4,0,90,4,
loc10,loc4,90,0,4,
loc10,loc4,180,90,4,
loc10,loc4,270,180,4,
loc10,loc5,0,180,4,
loc10,loc5,90,90,4,
loc10,loc5,180,0,4,
loc10,loc5,270,90,4,
loc10,loc6,0,180,5,
loc10,loc6,90,90,5,
loc10,loc6,180,0,5,
loc10,loc6,270,90,5,
loc10,loc7,0,90,2,
loc10,loc7,90,0,2,
loc10,loc7,180,90,2,
loc10,loc7,270,180,2,
loc10,loc8,0,90,3,
loc10,loc8,90,0,3,
loc10,loc8,180,90,3,
loc10,loc8,270,180,3,
loc10,loc9,0,180,3,
loc10,loc9,90,90,3,
loc10,loc9,180,0,3,
loc10,loc9,270,90,3,
loc10,loc11,0,90,1,
loc10,loc11,90,0,1,
loc10,loc11,180,90,1,
loc10,loc11,270,180,1,
loc10,loc12,0,90,2,
loc10,loc12,90,0,2,
loc10,loc12,180,90,2,
loc10,loc12,270,180,2,
loc10,loc13,0,180,2,
loc10,loc13,90,90,2,
loc10,loc13,180,0,2,
loc10,loc13,270,90,2,
loc10,loc14,0,180,1,
loc10,loc14,90,90,1,
loc10,loc14,180,0,1,
loc10,loc14,270,90,1,
loc10,loc15,0,90,4,
loc10,loc15,90,0,4,
loc10,loc15,180,90,4,
loc10,loc15,270,180,4,
loc10,loc16,0,90,3,
loc10,loc16,90,0,3,
loc10,loc16,180,90,3,
loc10,loc16,270,180,3,
loc11,loc1,0,90,8,
loc11,loc1,90,0,8,
loc11,loc1,180,90,8,
loc11,loc1,270,180,8,
loc11,loc2,0,90,9,
loc11,loc2,90,0,9,
loc11,loc2,180,90,9,
loc11,loc2,270,180,9,
loc11,loc3,0,0,2,
loc11,loc3,90,90,2,
loc11,loc3,180,180,2,
loc11,loc3,270,90,2,
loc11,loc4,0,0,3,
loc11,loc4,90,90,3,
loc11,loc4,180,180,3,
loc11,loc4,270,90,3,
loc11,loc5,0,90,7,
loc11,loc5,90,0,7,
loc11,loc5,180,90,7,
loc11,loc5,270,180,7,
loc11,loc6,0,90,8,
loc11,loc6,90,0,8,
loc11,loc6,180,90,8,
loc11,loc6,270,180,8,
loc11,loc7,0,0,1,
loc11,loc7,90,90,1,
loc11,loc7,180,180,1,
loc11,loc7,270,90,1,
loc11,loc8,0,0,2,
loc11,loc8,90,90,2,
loc11,loc8,180,180,2,
loc11,loc8,270,90,2,
loc11,loc9,0,90,6,
loc11,loc9,90,0,6,
loc11,loc9,180,90,6,
loc11,loc9,270,180,6,
loc11,loc10,0,90,7,
loc11,loc10,90,0,7,
loc11,loc10,180,90,7,
loc11,loc10,270,180,7,
loc11,loc12,0,90,1,
loc11,loc12,90,0,1,
loc11,loc12,180,90,1,
loc11,loc12,270,180,1,
loc11,loc13,0,90,5,
loc11,loc13,90,0,5,
loc11,loc13,180,90,5,
loc11,loc13,270,180,5,
loc11,loc14,0,90,4,
loc11,loc14,90,0,4,
loc11,loc14,180,90,4,
loc11,loc14,270,180,4,
loc11,loc15,0,90,3,
loc11,loc15,90,0,3,
loc11,loc15,180,90,3,
loc11,loc15,270,180,3,
loc11,loc16,0,90,2,
loc11,loc16,90,0,2,
loc11,loc16,180,90,2,
loc11,loc16,270,180,2,
loc12,loc1,0,180,7,
loc12,loc1,90,90,7,
loc12,loc1,180,0,7,
loc12,loc1,270,90,7,
loc12,loc2,0,180,8,
loc12,loc2,90,90,8,
loc12,loc2,180,0,8,
loc12,loc2,270,90,8,
loc12,loc3,0,180,6,
loc12,loc3,90,90,6,
loc12,loc3,180,0,6,
loc12,loc3,270,90,6,
loc12,loc4,0,180,7,
loc12,loc4,90,90,7,
loc12,loc4,180,0,7,
loc12,loc4,270,90,7,
loc12,loc5,0,180,6,
loc12,loc5,90,90,6,
loc12,loc5,180,0,6,
loc12,loc5,270,90,6,
loc12,loc6,0,180,7,
loc12,loc6,90,90,7,
loc12,loc6,180,0,7,
loc12,loc6,270,90,7,
loc12,loc7,0,180,4,
loc12,loc7,90,90,4,
loc12,loc7,180,0,4,
loc12,loc7,270,90,4,
loc12,loc8,0,180,5,
loc12,loc8,90,90,5,
loc12,loc8,180,0,5,
loc12,loc8,270,90,5,
loc12,loc9,0,180,5,
loc12,loc9,90,90,5,
loc12,loc9,180,0,5,
loc12,loc9,270,90,5,
loc12,loc10,0,180,6,
loc12,loc10,90,90,6,
loc12,loc10,180,0,6,
loc12,loc10,270,90,6,
loc12,loc11,0,180,3,
loc12,loc11,90,90,3,
loc12,loc11,180,0,3,
loc12,loc11,270,90,3,
loc12,loc13,0,180,4,
loc12,loc13,90,90,4,
loc12,loc13,180,0,4,
loc12,loc13,270,90,4,
loc12,loc14,0,180,3,
loc12,loc14,90,90,3,
loc12,loc14,180,0,3,
loc12,loc14,270,90,3,
loc12,loc15,0,180,2,
loc12,loc15,90,90,2,
loc12,loc15,180,0,2,
loc12,loc15,270,90,2,
loc12,loc16,0,180,1,
loc12,loc16,90,90,1,
loc12,loc16,180,0,1,
loc12,loc16,270,90,1,
loc13,loc1,0,0,3,
loc13,loc1,90,90,3,
loc13,loc1,180,180,3,
loc13,loc1,270,90,3,
loc13,loc2,0,0,4,
loc13,loc2,90,90,4,
loc13,loc2,180,180,4,
loc13,loc2,270,90,4,
loc13,loc3,0,0,5,
loc13,loc3,90,90,5,
loc13,loc3,180,180,5,
loc13,loc3,270,90,5,
loc13,loc4,0,0,6,
loc13,loc4,90,90,6,
loc13,loc4,180,180,6,
loc13,loc4,270,90,6,
loc13,loc5,0,0,2,
loc13,loc5,90,90,2,
loc13,loc5,180,180,2,
loc13,loc5,270,90,2,
loc13,loc6,0,0,3,
loc13,loc6,90,90,3,
loc13,loc6,180,180,3,
loc13,loc6,270,90,3,
loc13,loc7,0,0,4,
loc13,loc7,90,90,4,
loc13,loc7,180,180,4,
loc13,loc7,270,90,4,
loc13,loc8,0,0,5,
loc13,loc8,90,90,5,
loc13,loc8,180,180,5,
loc13,loc8,270,90,5,
loc13,loc9,0,0,1,
loc13,loc9,90,90,1,
loc13,loc9,180,180,1,
loc13,loc9,270,90,1,
loc13,loc10,0,0,2,
loc13,loc10,90,90,2,
loc13,loc10,180,180,2,
loc13,loc10,270,90,2,
loc13,loc11,0,0,3,
loc13,loc11,90,90,3,
loc13,loc11,180,180,3,
loc13,loc11,270,90,3,
loc13,loc12,0,0,4,
loc13,loc12,90,90,4,
loc13,loc12,180,180,4,
loc13,loc12,270,90,4,
loc13,loc14,0,0,3,
loc13,loc14,90,90,3,
loc13,loc14,180,180,3,
loc13,loc14,270,90,3,
loc13,loc15,0,0,6,
loc13,loc15,90,90,6,
loc13,loc15,180,180,6,
loc13,loc15,270,90,6,
loc13,loc16,0,0,5,
loc13,loc16,90,90,5,
loc13,loc16,180,180,5,
loc13,loc16,270,90,5,
loc14,loc1,0,90,4,
loc14,loc1,90,180,4,
loc14,loc1,180,90,4,
loc14,loc1,270,0,4,
loc14,loc2,0,90,5,
loc14,loc2,90,180,5,
loc14,loc2,180,90,5,
loc14,loc2,270,0,5,
loc14,loc3,0,90,6,
loc14,loc3,90,180,6,
loc14,loc3,180,90,6,
loc14,loc3,270,0,6,
loc14,loc4,0,90,7,
loc14,loc4,90,180,7,
loc14,loc4,180,90,7,
loc14,loc4,270,0,7,
loc14,loc5,0,90,3,
loc14,loc5,90,180,3,
loc14,loc5,180,90,3,
loc14,loc5,270,0,3,
loc14,loc6,0,90,4,
loc14,loc6,90,180,4,
loc14,loc6,180,90,4,
loc14,loc6,270,0,4,
loc14,loc7,0,90,5,
loc14,loc7,90,180,5,
loc14,loc7,180,90,5,
loc14,loc7,270,0,5,
loc14,loc8,0,90,6,
loc14,loc8,90,180,6,
loc14,loc8,180,90,6,
loc14,loc8,270,0,6,
loc14,loc9,0,90,2,
loc14,loc9,90,180,2,
loc14,loc9,180,90,2,
loc14,loc9,270,0,2,
loc14,loc10,0,90,3,
loc14,loc10,90,180,3,
loc14,loc10,180,90,3,
loc14,loc10,270,0,3,
loc14,loc11,0,90,4,
loc14,loc11,90,180,4,
loc14,loc11,180,90,4,
loc14,loc11,270,0,4,
loc14,loc12,0,90,5,
loc14,loc12,90,180,5,
loc14,loc12,180,90,5,
loc14,loc12,270,0,5,
loc14,loc13,0,90,1,
loc14,loc13,90,180,1,
loc14,loc13,180,90,1,
loc14,loc13,270,0,1,
loc14,loc15,0,90,5,
loc14,loc15,90,180,5,
loc14,loc15,180,90,5,
loc14,loc15,270,0,5,
loc14,loc16,0,90,6,
loc14,loc16,90,180,6,
loc14,loc16,180,90,6,
loc14,loc16,270,0,6,
loc15,loc1,0,90,5,
loc15,loc1,90,180,5,
loc15,loc1,180,90,5,
loc15,loc1,270,0,5,
loc15,loc2,0,90,6,
loc15,loc2,90,180,6,
loc15,loc2,180,90,6,
loc15,loc2,270,0,6,
loc15,loc3,0,0,3,
loc15,loc3,90,90,3,
loc15,loc3,180,180,3,
loc15,loc3,270,90,3,
loc15,loc4,0,0,4,
loc15,loc4,90,90,4,
loc15,loc4,180,180,4,
loc15,loc4,270,90,4,
loc15,loc5,0,90,4,
loc15,loc5,90,180,4,
loc15,loc5,180,90,4,
loc15,loc5,270,0,4,
loc15,loc6,0,90,5,
loc15,loc6,90,180,5,
loc15,loc6,180,90,5,
loc15,loc6,270,0,5,
loc15,loc7,0,0,2,
loc15,loc7,90,90,2,
loc15,loc7,180,180,2,
loc15,loc7,270,90,2,
loc15,loc8,0,0,3,
loc15,loc8,90,90,3,
loc15,loc8,180,180,3,
loc15,loc8,270,90,3,
loc15,loc9,0,90,3,
loc15,loc9,90,180,3,
loc15,loc9,180,90,3,
loc15,loc9,270,0,3,
loc15,loc10,0,90,4,
loc15,loc10,90,180,4,
loc15,loc10,180,90,4,
loc15,loc10,270,0,4,
loc15,loc11,0,0,1,
loc15,loc11,90,90,1,
loc15,loc11,180,180,1,
loc15,loc11,270,90,1,
loc15,loc12,0,0,2,
loc15,loc12,90,90,2,
loc15,loc12,180,180,2,
loc15,loc12,270,90,2,
loc15,loc13,0,90,2,
loc15,loc13,90,180,2,
loc15,loc13,180,90,2,
loc15,loc13,270,0,2,
loc15,loc14,0,90,1,
loc15,loc14,90,180,1,
loc15,loc14,180,90,1,
loc15,loc14,270,0,1,
loc15,loc16,0,0,3,
loc15,loc16,90,90,3,
loc15,loc16,180,180,3,
loc15,loc16,270,90,3,
loc16,loc1,0,90,6,
loc16,loc1,90,180,6,
loc16,loc1,180,90,6,
loc16,loc1,270,0,6,
loc16,loc2,0,90,7,
loc16,loc2,90,180,7,
loc16,loc2,180,90,7,
loc16,loc2,270,0,7,
loc16,loc3,0,90,4,
loc16,loc3,90,180,4,
loc16,loc3,180,90,4,
loc16,loc3,270,0,4,
loc16,loc4,0,90,5,
loc16,loc4,90,180,5,
loc16,loc4,180,90,5,
loc16,loc4,270,0,5,
loc16,loc5,0,90,5,
loc16,loc5,90,180,5,
loc16,loc5,180,90,5,
loc16,loc5,270,0,5,
loc16,loc6,0,90,6,
loc16,loc6,90,180,6,
loc16,loc6,180,90,6,
loc16,loc6,270,0,6,
loc16,loc7,0,90,3,
loc16,loc7,90,180,3,
loc16,loc7,180,90,3,
loc16,loc7,270,0,3,
loc16,loc8,0,90,4,
loc16,loc8,90,180,4,
loc16,loc8,180,90,4,
loc16,loc8,270,0,4,
loc16,loc9,0,90,4,
loc16,loc9,90,180,4,
loc16,loc9,180,90,4,
loc16,loc9,270,0,4,
loc16,loc10,0,90,5,
loc16,loc10,90,180,5,
loc16,loc10,180,90,5,
loc16,loc10,270,0,5,
loc16,loc11,0,90,2,
loc16,loc11,90,180,2,
loc16,loc11,180,90,2,
loc16,loc11,270,0,2,
loc16,loc12,0,90,3,
loc16,loc12,90,180,3,
loc16,loc12,180,90,3,
loc16,loc12,270,0,3,
loc16,loc13,0,90,3,
loc16,loc13,90,180,3,
loc16,loc13,180,90,3,
loc16,loc13,270,0,3,
loc16,loc14,0,90,2,
loc16,loc14,90,180,2,
loc16,loc14,180,90,2,
loc16,loc14,270,0,2,
loc16,loc15,0,90,1,
loc16,loc15,90,180,1,
loc16,loc15,180,90,1,
loc16,loc15,270,0,1,
